Market Prices (INR),Market Demand (tons),Market Supply (tons),Storage Cost (per ton),Transport Cost (per km),Storage Duration (months),Market Trends,Sowing Date (Month),Harvest Date (Month),Weather Condition (Month),Historical Yield Data (tons),District,Year,Intentional Storage (Yes/No),Crop Quality Rating,Government Policies,Consumer Preference,Crop Rotation,Crop Name,Price Spike,Weather Change (Yes/No),Yield Predicted by Farmer,Actual Harvested Yield,Actual Distributed Yield,Crop Type,Detailed Analysis
1578.409367,1979,1371,13.29037087,2.423929129,4,0,1,9,2,1386.649166,0,2005,1,1,0,0,0,4,0,1,1912.264632,654.8759183,1748.017764,0,0
2265.09214,1582,654,8.3871664,2.127676742,4,0,6,12,0,1133.690484,0,2005,1,2,1,0,2,0,0,0,993.0927225,1001.834568,1059.076701,0,0
1198.637947,1715,852,8.39072304,4.086502567,12,1,7,12,0,1593.626876,0,2005,1,1,0,2,2,0,0,1,1026.739775,865.8181789,1530.206699,0,0
2945.467792,1297,1823,9.100752305,1.1033239,9,2,11,10,2,916.6382558,0,2005,1,8,2,2,1,1,0,0,1607.725442,919.9079875,814.1616668,0,0
2793.800189,1769,1652,8.449841101,3.938582142,2,0,7,5,0,923.1874439,0,2005,1,6,1,0,1,4,1,1,1708.833071,660.548279,1022.276785,0,0
2873.258414,966,1105,9.904377852,2.633355503,3,1,6,6,0,823.7514786,0,2005,1,7,2,1,1,1,1,1,568.7023686,1392.80593,875.929129,0,0
1876.182575,1461,1923,9.637734517,3.696592724,12,0,3,11,0,1004.613107,0,2005,0,10,0,1,0,3,0,0,1862.136337,1051.059121,1478.31742,0,1
2353.541663,1885,546,5.722772842,3.958163945,7,2,7,7,2,713.5112004,0,2005,1,9,1,2,2,0,1,1,1786.197236,837.4195162,1630.894195,0,0
1925.197876,1492,897,11.25649483,1.775877381,9,1,9,1,0,1494.914054,0,2005,1,2,1,1,0,4,0,0,1032.036687,702.8505826,1720.875068,0,0
2415.364126,961,894,5.017479891,1.279421334,12,2,5,7,0,321.9141086,0,2005,0,1,0,0,0,2,0,1,875.3408962,613.4325332,690.7162214,0,1
1577.670491,1908,823,13.82049673,1.192125154,4,2,4,7,1,1065.082305,0,2005,1,5,0,2,1,2,1,0,1345.820967,937.1787897,417.4876288,0,0
1714.527742,1043,667,5.876662985,2.811570985,11,2,8,3,1,908.9602982,0,2005,1,1,2,2,2,1,0,0,1358.178743,1749.052351,1684.397924,0,0
1337.480442,964,1455,10.59832857,1.717655056,6,0,12,1,1,333.8289406,0,2005,1,3,1,0,2,4,0,0,1458.593065,1740.544747,434.6499993,0,0
1152.222026,806,592,14.73805771,2.331606733,9,2,12,1,2,645.0177116,0,2005,1,6,0,0,0,3,1,1,829.4140317,1752.122089,1298.198265,0,0
2531.057048,1920,1047,9.888880034,2.734941671,12,0,5,8,1,1338.234606,0,2005,1,10,0,2,0,4,1,0,916.2936225,1317.881889,1318.380044,0,0
2600.719001,1073,937,5.347526341,2.311349792,4,1,12,2,1,404.5808057,0,2005,1,10,0,2,1,0,0,0,753.5736494,1253.700413,1676.633453,0,0
1042.602216,1458,728,11.35042646,1.807088949,6,1,3,6,0,926.7328325,0,2005,0,6,0,2,2,1,0,0,935.1380711,763.709467,1645.085315,0,1
1996.620499,1951,1170,7.195955995,1.456139914,11,2,7,9,0,186.6574449,0,2005,0,10,1,1,0,2,1,1,1803.954127,1557.526895,1173.677349,0,1
2330.322773,633,613,14.73894394,2.004755933,2,1,8,8,2,1358.972583,0,2005,1,2,0,1,0,0,0,0,1288.413284,1420.286327,1683.239518,0,0
2980.704323,568,1531,9.656464226,3.312280712,11,2,11,4,1,1161.64282,0,2005,1,10,0,0,0,4,0,0,1386.27334,1168.422791,639.8644061,0,0
2587.998333,830,1718,9.232183751,1.894071372,6,2,3,6,1,659.4126945,0,2005,1,5,2,0,2,3,0,0,1701.289021,734.1052822,1382.438003,0,0
1537.762578,546,1523,9.339420636,3.901557427,4,1,10,1,1,1909.48577,0,2005,1,7,2,0,0,4,0,1,1341.871055,723.1374286,1472.354319,0,0
1333.453054,1120,1481,12.26006563,1.25421077,12,0,6,11,1,1660.640138,0,2005,1,4,0,1,2,4,1,1,1928.515368,563.5335286,975.4020749,0,0
2394.959778,844,1789,13.00389137,2.093456135,7,2,6,6,2,640.8960197,0,2005,1,4,0,2,1,1,1,1,1915.810821,760.5936919,951.0816732,0,0
2341.535781,924,1401,7.171378427,1.170586585,6,2,4,11,0,799.6541523,0,2005,1,6,2,1,1,4,0,0,1419.420052,1450.230609,469.1147076,0,0
1080.645724,1936,1226,11.38671061,4.088400204,2,2,10,12,2,1268.319668,0,2005,1,4,0,2,0,1,0,0,1467.650346,1078.050518,688.8159601,0,0
1569.24473,582,1453,14.35296129,1.576578705,11,0,5,3,2,594.9619188,0,2005,1,9,2,2,1,1,0,1,871.0303339,1498.853123,992.4267175,0,0
1925.442543,726,1645,9.076247405,2.501327968,1,0,7,1,0,652.0286946,0,2005,0,4,1,0,0,4,0,1,1720.954033,568.8713817,773.0671228,0,1
1071.958808,1506,1992,13.0820463,3.677927281,7,2,10,9,0,342.2055803,0,2005,1,10,2,0,0,3,0,1,782.3983986,1318.491559,1736.540403,0,0
1992.850157,1527,503,10.49016826,1.169546732,12,0,10,12,0,1721.83508,0,2005,0,3,1,0,0,3,1,1,1560.405996,917.5442953,1032.367897,0,1
2034.503248,1180,693,8.704976603,4.333973406,7,1,3,4,2,1979.108971,0,2005,1,6,2,1,2,2,1,0,973.338887,1372.115349,656.6174869,0,0
2209.003838,705,1404,8.527974504,4.093701081,12,2,2,1,0,352.3678539,0,2005,0,9,0,1,1,1,0,1,1074.812684,1639.466789,1178.083819,0,1
1095.469764,1942,621,5.649164222,1.403096513,1,2,11,3,0,530.8008276,0,2005,0,10,2,2,0,2,1,1,1596.24131,691.0658892,586.3508617,0,1
1945.509629,630,1592,11.46629946,1.466956244,8,2,10,8,0,182.9851015,0,2005,1,4,1,0,1,3,0,0,1230.626542,860.4803053,419.7007713,0,0
2832.101553,1883,1745,11.40055939,2.025327811,5,1,4,9,0,1778.898833,0,2005,1,5,1,2,0,1,1,0,898.542529,438.5646983,1527.526172,0,0
1964.296019,1188,1403,13.67712787,3.337449976,11,1,12,3,2,1951.133385,0,2005,1,8,1,2,2,0,1,1,697.442247,518.4778425,744.8401694,0,0
1760.650218,729,1414,12.85491076,3.33986258,10,2,6,6,0,1010.503937,0,2005,0,10,0,0,2,0,1,1,1383.883209,1175.301977,1344.135084,0,1
1604.974083,1280,907,14.92619757,3.916910214,6,2,1,5,2,708.7281389,0,2005,1,3,2,2,0,1,0,0,548.6476887,848.4656691,670.5898504,0,0
1750.886711,1803,1349,7.338017927,3.60119368,3,2,2,9,1,1921.031683,0,2005,1,2,1,0,1,0,1,1,767.0093642,1380.712863,1238.730601,0,0
2722.338321,1945,1565,7.271808448,4.288945994,5,0,8,5,2,1532.343916,0,2005,1,6,2,0,0,2,1,0,1834.903764,1466.285187,1551.583075,0,0
1269.172121,1591,1378,14.41476186,4.056080449,5,0,9,1,1,1784.609942,0,2005,1,8,0,0,0,4,1,1,925.1581575,955.1836153,742.3066126,0,0
2902.389177,1195,836,5.184597329,4.482605603,6,2,3,8,2,356.4639453,0,2005,1,3,0,1,2,0,1,0,1483.096764,584.9225473,897.4347754,0,0
2141.402365,603,1630,7.260073081,1.482258503,8,2,2,11,0,676.2069379,0,2005,1,2,1,1,2,2,0,0,615.1577446,779.8515031,944.5854712,0,0
1999.580946,1865,916,8.833063257,1.801477788,7,0,2,7,2,394.6502381,0,2005,1,3,0,0,2,0,1,1,1776.850709,1008.020623,584.4619643,0,0
1292.910988,1187,1561,7.239117828,4.470776591,5,1,6,9,2,490.1201768,0,2005,1,3,2,2,1,1,1,0,707.7213833,1066.889258,1752.188235,0,0
1353.744541,664,1013,10.5131434,3.176732307,8,0,2,5,2,1872.770649,0,2005,1,1,2,0,1,0,1,0,796.768839,1771.640839,1705.260693,0,0
1383.171648,941,1076,13.12395165,1.522414157,11,2,12,7,0,1351.842728,0,2005,1,1,1,2,1,1,0,0,1851.702991,1652.218827,401.3452164,0,0
1243.849335,703,1710,8.917825141,1.170530642,7,2,7,10,0,1695.406602,0,2005,1,1,1,2,1,3,0,0,1635.357596,900.3333434,1439.277538,0,0
2320.480036,1049,1836,13.66916259,3.125582476,12,1,12,12,1,1759.26271,0,2005,1,7,2,1,1,0,1,1,1051.799144,1752.624746,1219.619923,0,0
1303.738452,810,772,5.727003318,3.068587965,3,0,7,3,2,974.7677943,0,2005,1,1,2,1,1,2,0,1,609.5412652,793.9339199,698.5897753,0,0
2841.195424,1681,1340,11.37958886,4.376261617,1,2,1,3,1,340.633026,0,2005,1,3,2,0,2,1,0,1,1296.086631,1370.624228,1471.702673,0,0
1251.648272,1361,1883,11.64919401,1.723838896,1,0,6,9,0,305.900355,0,2005,0,4,2,0,2,1,0,0,906.511384,689.8917246,1762.840002,0,1
2941.686915,1715,1081,11.4704513,2.330057343,6,1,7,5,0,141.5922991,0,2005,1,1,1,0,1,0,0,1,1188.023824,1795.237106,1481.495682,0,0
2917.798522,1132,835,5.466691118,3.01342521,7,1,6,11,0,1433.565285,0,2005,1,3,1,2,2,1,1,0,1053.687079,1456.199087,1711.771878,0,0
2778.556663,1022,630,13.15140605,1.84702733,6,0,6,3,1,437.3567627,0,2005,1,6,1,1,0,1,1,1,806.7811202,1004.231584,1395.866284,0,0
1894.242267,917,810,13.70948653,4.253832315,1,1,9,8,1,216.520052,0,2005,1,3,2,0,2,2,0,0,863.2595149,902.9131124,951.0112949,0,0
1260.800921,554,534,5.133150867,3.94881897,3,0,7,4,2,1267.025173,0,2005,1,6,2,2,0,2,1,1,1265.23108,840.3909756,484.6910767,0,0
1414.92997,1510,1305,14.77863835,1.084029303,10,2,9,4,2,414.7114213,0,2005,1,6,1,0,1,0,0,0,1806.465767,1196.401728,1301.106833,0,0
2358.521622,885,1517,14.03376166,1.111341075,9,1,12,5,0,666.584051,0,2005,1,5,2,2,2,4,0,0,1530.680481,650.5030405,1263.541625,0,0
1985.740416,1416,1507,6.491721226,2.374775982,7,0,5,11,2,1923.571484,0,2005,1,3,0,0,2,4,0,0,1271.009707,1399.226219,605.7989972,0,0
1365.448391,1695,806,12.24830134,1.04109169,12,2,11,1,1,726.2069274,0,2005,1,1,0,1,2,0,1,1,582.0735531,830.6323323,872.1725863,0,0
2736.266689,520,950,5.074966953,3.644104568,2,2,10,9,2,1164.726984,0,2005,1,5,2,2,0,1,1,1,1097.961084,841.8709215,680.7735853,0,0
2393.832037,1107,934,8.951670496,4.580127977,3,2,9,2,1,236.6820598,0,2005,1,9,1,0,1,1,0,0,1255.506027,1732.609112,791.830861,0,0
1887.418259,1874,1367,11.61959249,3.202117994,10,0,6,1,1,431.845605,0,2005,1,2,1,1,2,4,1,1,578.5585699,947.5359463,506.2056326,0,0
2848.338695,667,1852,7.8760762,2.249626996,1,2,12,8,1,1297.484633,0,2005,1,8,2,1,0,0,0,1,1126.318027,573.064752,606.3208999,0,0
1305.370128,611,1433,9.887887863,1.503210854,11,2,12,8,1,502.8218206,0,2005,1,8,0,0,0,1,0,1,1668.595921,969.0746385,1788.93637,0,0
1591.849579,863,1966,12.44568153,4.253436911,2,2,8,4,0,1721.818749,0,2005,0,10,2,0,1,0,1,1,1221.810863,1655.994629,1143.061181,0,1
1497.736433,1744,933,7.446517618,1.025192936,3,1,10,11,1,406.1266307,0,2005,1,3,0,2,2,0,0,0,666.1914488,1469.258546,651.4898024,0,0
2554.016978,1729,979,6.918110339,3.249757254,11,1,10,10,0,785.1622625,0,2005,1,6,2,0,0,3,1,1,896.0901584,642.2438834,436.367235,0,0
1868.54776,812,740,8.144806408,2.160130487,2,1,12,12,0,959.0349988,0,2005,1,8,0,1,1,2,0,1,869.1119229,1660.095676,923.9484802,0,0
2769.102853,1086,1026,5.591792006,1.958946152,2,0,3,11,1,1803.233828,0,2005,1,9,0,2,0,3,1,1,1843.766552,1622.576356,1357.500989,0,0
2186.314007,756,1512,9.946131413,1.1233805,2,0,12,5,0,977.9940587,0,2005,1,8,1,0,1,4,0,1,689.3628066,1528.324712,1145.668317,0,0
1327.059986,1284,1425,8.397274083,3.959229205,10,0,2,7,2,1982.698408,0,2005,1,8,1,0,2,1,1,1,939.8779351,941.1453765,403.3289479,0,0
1897.766231,912,855,6.117103039,2.310667565,11,1,6,7,2,1548.942345,0,2005,1,4,0,2,2,3,0,1,552.3006972,666.8451005,1117.636012,0,0
1581.274118,985,921,6.602908702,1.685263004,5,0,6,2,2,709.4247192,0,2005,1,9,1,2,1,3,0,1,611.2647397,1306.36515,1072.299252,0,0
2501.383389,1553,1455,11.00486428,1.403885047,8,2,10,11,0,1089.600221,0,2005,1,4,1,0,1,2,1,1,1895.796439,845.4081211,731.9067348,0,0
2880.068936,1021,1382,5.479591517,1.476316621,9,1,12,4,1,1659.754363,0,2005,1,3,1,0,1,0,1,0,1435.514137,1734.546439,837.0734982,0,0
2497.604771,912,1580,10.94405124,3.418261235,5,1,2,11,0,1436.674435,0,2005,1,8,1,1,1,3,0,1,1982.828923,1106.187867,993.4201723,0,0
2740.772924,1852,1683,14.27527727,4.760290312,8,0,3,2,1,1854.645409,0,2005,1,9,0,0,0,1,0,0,1564.785372,1137.540773,1469.035776,0,0
2200.682905,1435,937,10.17826517,3.158930763,12,1,2,9,2,114.5862023,0,2005,1,1,2,2,2,2,1,1,1663.734145,1249.726789,1451.182401,0,0
1565.611112,616,1450,12.72678744,3.090856526,4,0,5,5,1,559.6491659,0,2005,1,7,2,2,0,2,1,1,1756.322954,946.9175744,1039.756362,0,0
1454.064666,1805,1764,8.524073877,2.733217407,11,1,10,10,2,1884.059316,0,2005,1,10,0,2,2,2,0,1,1329.334449,1224.860753,1146.816655,0,0
2739.319419,1969,605,12.69969214,4.137477321,5,2,10,5,1,280.5055097,0,2005,1,8,0,2,0,0,0,1,794.755456,949.4039979,839.0104681,0,0
1984.192866,1662,1524,14.55891712,2.337870361,7,2,1,12,0,1276.995597,0,2005,0,9,0,0,0,0,0,1,1975.9952,804.0124799,572.5648733,0,1
2123.605584,1711,1463,11.92194125,3.200337865,4,1,10,6,0,1972.17612,0,2005,1,1,2,1,2,4,0,1,1044.988882,427.7201939,1575.890745,0,0
2669.368227,668,911,11.93201406,1.992249997,1,1,6,7,1,535.8513875,0,2005,1,8,2,0,0,4,0,0,735.0793403,1785.877145,581.7405505,0,0
2774.978045,1408,1763,11.02791903,4.122519649,6,2,10,6,2,155.956927,0,2005,1,6,1,2,2,1,1,0,1322.792417,1360.533929,1002.007818,0,0
2257.635658,1093,784,12.18684518,4.614164208,5,0,2,10,0,144.9281821,0,2005,0,3,0,1,0,3,0,1,1355.924461,1058.807092,1040.490672,0,1
1305.883907,1996,1709,9.301278091,1.512816782,9,1,1,9,1,1593.698388,0,2005,1,3,0,1,1,4,0,0,1400.733885,1175.271798,1152.20521,0,0
2864.361736,1169,737,13.90041424,2.691852814,2,2,5,6,0,888.2135401,0,2005,1,1,2,1,2,3,0,0,741.2918647,1236.096055,403.8598717,0,0
1862.464234,1511,1601,13.24577171,2.211542845,10,2,4,9,1,689.6028049,0,2005,1,3,1,1,2,1,1,1,1009.654457,405.1296379,470.1318826,0,0
1260.226397,601,922,11.30455095,4.62069226,12,1,11,5,0,811.4398358,0,2005,1,3,1,0,0,2,1,1,1393.314814,636.4300225,1747.588606,0,0
1798.844084,1873,1044,14.60628116,3.29092293,7,2,1,3,0,1104.314975,0,2005,1,2,0,1,1,4,0,0,1439.315994,1702.932283,1663.629882,0,0
2553.668972,1147,915,8.221871017,2.546994855,5,2,6,11,0,1589.882441,0,2005,1,5,0,0,1,0,1,1,550.8506506,922.5492876,1703.452534,0,0
2582.224616,772,1069,12.84035927,2.576002043,6,0,6,11,2,180.5252532,0,2005,1,1,1,0,0,1,0,0,1437.151384,1647.379525,1183.465138,0,0
1499.478313,632,669,13.35663887,1.094679345,6,1,4,1,1,557.1682935,0,2005,1,1,0,2,1,0,0,0,1894.790275,1410.359306,1720.435874,0,0
1222.817684,1338,731,14.44905451,3.737001313,4,1,6,3,2,1213.047469,0,2005,1,1,2,0,2,0,0,1,868.8210459,1719.727996,1465.397886,0,0
2874.203136,1193,1183,10.90732014,2.668951182,9,0,7,6,2,818.8080818,0,2005,1,1,0,1,1,3,1,1,506.6695585,1541.449804,993.4908357,0,0
1382.039633,1940,915,13.99489887,4.671784848,7,1,12,11,2,940.0150804,0,2005,1,6,2,2,0,2,1,1,984.3228024,1017.495232,573.1489318,0,0
2881.883849,1178,1350,13.92987768,2.311266877,11,0,3,5,0,191.2639478,0,2005,0,2,2,2,2,3,0,1,1607.414769,872.5035426,426.4863485,0,1
1591.596344,1535,1070,11.53522749,1.534241864,9,0,1,9,1,1673.642119,0,2005,1,6,2,0,0,1,1,1,623.454656,1036.467894,1550.599677,0,0
1705.219609,1049,1971,12.57848912,4.914002688,3,2,10,2,0,1665.241741,0,2005,0,10,2,1,2,4,0,0,626.539368,1112.338003,479.313356,0,1
1853.78603,1971,504,7.170600332,1.496280697,6,0,3,4,2,1247.486717,0,2005,1,3,1,1,2,3,1,1,597.848006,599.0018078,795.0194314,0,0
2162.03934,1885,1555,11.44467218,2.871960203,11,2,6,6,1,1497.123301,0,2005,1,7,1,2,2,0,1,1,697.1537976,1225.710402,433.0826363,0,0
2277.317251,1531,1828,10.06570579,3.785787212,4,1,11,4,2,911.3357829,0,2005,1,7,2,2,0,2,1,0,1573.521347,1091.091984,1544.493128,0,0
2121.820356,1857,1625,7.864556732,1.680636747,7,2,8,7,2,522.5525067,0,2005,1,9,0,1,0,3,1,0,1689.54855,1509.494192,403.373875,0,0
2849.781299,872,1599,13.06972981,1.586746624,12,2,5,9,0,1835.959393,0,2005,1,6,0,2,2,3,1,1,781.0923617,1011.964591,1187.528397,0,0
1852.137425,1424,938,5.529943023,2.564192026,4,2,10,11,2,1977.864698,0,2005,1,9,1,2,1,3,0,1,862.8011294,531.5425322,694.2646811,0,0
1662.482696,1897,948,11.05167907,2.170567693,12,0,8,1,0,1437.874044,0,2005,1,6,0,0,0,0,0,1,1732.144163,575.6209392,866.2085531,0,0
1334.825727,1982,924,11.62796091,4.802564545,6,1,5,5,1,314.6479382,0,2005,1,9,2,2,2,3,0,1,1906.685544,1190.837951,904.5325502,0,0
2176.05866,736,1159,9.183162907,2.952831597,12,2,4,9,2,1270.665507,0,2005,1,4,0,1,1,3,0,1,541.6234818,1358.483363,993.0244737,0,0
2560.10905,1044,858,9.040719243,3.26948629,12,0,10,4,2,801.0800383,0,2005,1,7,1,2,0,2,1,0,1302.834565,1477.164425,1637.320457,0,0
1714.912848,660,1610,10.07684342,4.276767164,3,2,1,1,1,365.4211873,0,2005,1,5,2,0,0,3,1,0,1444.956562,450.6238025,1711.731264,0,0
1040.186056,1526,1220,13.65912343,3.182692094,11,1,1,8,1,1681.682255,0,2005,1,7,0,1,1,2,1,1,847.1793451,696.1361555,706.44335,0,0
2513.452459,502,1766,7.025774106,2.97969563,9,1,12,3,1,1736.319185,0,2005,1,1,1,1,1,1,0,1,1536.782403,1744.697623,956.7850097,0,0
1218.502424,1362,1393,10.85390623,3.26347743,11,0,7,4,2,591.3767549,0,2005,1,8,1,2,1,0,0,0,1227.166423,770.3825074,1051.262518,0,0
2237.267372,1182,1472,12.93457255,1.323450258,1,1,5,6,1,270.5255007,0,2005,1,4,0,2,1,4,1,0,1855.406047,1766.341448,1474.337573,0,0
1042.915018,803,1956,6.856221705,4.165381048,12,2,11,10,0,985.2435358,0,2005,1,2,1,0,1,3,0,1,1836.559344,1587.754217,1653.871259,0,0
2630.993469,1518,1622,11.07143266,1.686643853,10,2,6,10,2,1255.695565,0,2005,1,5,1,1,0,4,0,1,1253.734211,700.0193403,1035.195909,0,0
1179.469969,1956,1560,10.95594935,4.67272934,2,1,7,10,1,1872.615061,0,2005,1,6,2,1,0,3,0,0,591.9980367,1164.317925,1272.641968,0,0
1939.691437,1876,931,12.56519891,4.590368095,11,2,3,9,0,984.111733,0,2005,0,6,1,1,2,1,0,1,900.5684272,899.0621649,1529.679312,0,1
1867.699765,1014,928,8.063842076,3.45955046,7,2,5,10,1,1541.795244,0,2005,1,2,0,2,2,4,0,1,873.4553262,1211.008992,665.8466427,0,0
1571.970642,1583,1245,9.336054831,2.812863164,8,0,7,12,1,246.1843952,0,2005,1,4,1,1,1,1,0,1,1771.393201,959.7544395,1180.659661,0,0
2016.051429,1605,609,11.16888895,1.593347062,9,2,3,4,0,863.5698075,0,2005,1,10,2,0,1,1,1,1,1704.154112,1760.269546,957.7497005,0,0
1473.937713,1275,1469,6.460203449,1.403676429,11,2,6,2,0,411.7602662,0,2005,0,2,1,2,0,3,1,0,1784.881769,1499.944715,943.451007,0,1
1982.259539,1283,714,10.97714023,1.655877721,4,2,6,7,1,1547.237126,0,2005,1,10,2,2,0,4,1,0,583.1262505,958.2835709,863.3418155,0,0
1538.658443,1114,1555,8.046131826,4.393543698,9,0,2,6,1,1827.249157,0,2005,1,8,2,2,0,0,0,1,1900.801941,882.8354764,1554.284766,0,0
2163.769267,1778,1952,5.259929007,3.008130193,4,2,6,12,1,1370.823716,0,2005,1,9,0,1,1,2,0,0,1368.689606,1088.275761,870.6814478,0,0
2184.892778,1619,1359,12.46891317,3.211581545,12,2,11,12,0,1636.575464,0,2005,1,6,1,1,2,2,0,0,1011.821623,1131.136069,1083.28586,0,0
1997.12404,1152,1986,5.986845754,2.083125206,5,2,5,11,2,1493.918161,0,2005,1,8,2,1,0,1,0,1,554.1995991,1443.737553,1524.316064,0,0
1214.6448,1625,1395,14.61619054,1.889257549,10,2,11,3,1,1436.225036,0,2005,1,4,1,0,0,4,1,0,1000.353946,1122.458611,1104.631541,0,0
2756.217737,1888,560,9.313222169,4.332333813,11,2,3,1,1,786.0857767,0,2005,1,7,2,0,0,4,1,0,1677.990335,635.7144738,488.4397673,0,0
2312.13425,1055,1473,14.53104644,4.094093029,1,0,9,2,0,1861.774401,0,2005,1,5,2,2,2,0,0,0,1427.857649,605.2967567,426.6866986,0,0
2702.353892,1777,1394,13.16032833,2.685986679,10,2,11,11,1,1487.621216,0,2005,1,5,0,2,1,2,0,0,1968.773258,1081.528449,533.3520365,0,0
2253.991582,1111,1669,8.826448523,1.018667059,6,2,7,4,2,1146.540348,0,2005,1,3,2,1,2,4,0,0,905.475424,863.750205,1051.673076,0,0
2175.872865,1285,966,14.25139133,3.232316988,4,1,1,3,0,651.1683375,0,2005,0,3,1,2,2,2,1,1,1927.762099,1268.303613,999.6193941,0,1
1868.840476,1352,1574,7.875487203,4.262696505,1,2,1,4,0,1186.43017,0,2005,1,6,1,2,2,2,1,0,972.3713456,1778.812559,1715.615705,0,0
2086.756611,845,1126,11.29266503,2.528038024,7,2,8,5,0,717.251592,0,2005,0,9,1,2,1,3,0,0,1500.881782,794.3109809,1609.19352,0,1
1184.829381,565,1182,7.940316119,2.789934062,11,2,1,1,1,279.3795356,0,2005,1,3,0,1,2,3,1,1,640.3792033,710.7840688,1762.861262,0,0
1107.643214,998,1458,10.83926883,2.039528387,4,1,8,2,0,1145.591075,0,2005,0,8,2,2,2,3,1,0,949.2961718,655.625137,1229.58801,0,1
2815.375285,1363,1313,7.818431535,2.961101572,8,1,3,9,1,372.4340278,0,2005,1,2,2,1,0,4,0,1,853.1260713,874.2374932,1734.591003,0,0
2979.326067,1951,957,8.148604669,1.60398298,5,0,11,10,2,376.7365513,0,2005,1,2,2,2,2,0,1,1,1193.886745,1111.077713,943.2636294,0,0
1272.601249,1777,761,7.796450196,2.95265606,9,2,6,12,2,343.8110151,0,2005,1,4,1,1,2,3,0,1,1382.380677,859.6314968,440.679934,0,0
1973.391826,625,1543,14.20561674,4.169509467,4,2,12,10,0,689.9664276,0,2005,1,4,0,2,1,1,0,0,1536.735206,793.5670289,408.2382447,0,0
1067.146255,1451,1752,5.525442298,3.589563687,9,2,6,7,0,1493.535656,0,2005,1,4,0,2,0,3,0,1,961.4221606,1005.930649,1145.554899,0,0
2447.608537,1069,1275,6.382238232,2.237701251,9,0,12,3,1,1113.099396,0,2005,1,3,0,0,0,1,1,1,1458.038501,462.8402658,1259.529518,0,0
2404.587261,1695,1054,5.542471335,4.717899363,12,0,4,4,2,1307.054089,0,2005,1,5,1,2,0,1,1,0,1638.683711,811.3284068,1129.413929,0,0
1838.918032,1830,1785,6.760376584,2.458684945,1,0,7,12,2,586.8541142,0,2005,1,3,0,2,2,4,1,0,926.6295238,1151.141122,905.1762472,0,0
2438.903978,1207,562,10.50646412,2.127465959,10,0,9,4,0,352.2241498,0,2005,0,10,1,1,2,2,0,0,1888.636283,578.9683461,1071.088973,0,1
2506.139925,744,1674,10.21374752,2.819455734,10,1,9,7,1,1290.340566,0,2005,1,5,2,2,0,2,1,1,1480.871381,1016.877165,1422.381062,0,0
1453.573694,868,811,8.447508062,4.486090905,6,0,3,12,2,1103.524742,0,2005,1,3,2,0,1,2,0,0,1595.117896,1542.802421,1460.580195,0,0
1540.621107,1669,1842,9.398526013,1.227134201,9,0,8,9,0,542.462147,0,2005,1,6,1,2,1,3,1,0,500.0860055,622.2298133,1426.476814,0,0
2031.72992,1920,582,9.745855466,3.459450623,9,2,2,8,0,659.3019816,0,2005,0,2,2,2,0,2,0,1,701.3905877,1735.278507,675.0966292,0,1
